;reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
34;gp:AOqpTOGGWY_aQ2rg4piyRQSkogtiKvQ4LW3vqnlK3tuIXKZ3wWxJriVdiD09M9zBZ5eF5PcgBHsq78fPdNhfKg;Ramon Andrade;https://play-lh.googleusercontent.com/-Kb8wYSc7_lc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrbge28-CZD28HOlMXRwMOuSAMIQ/photo.jpg;Top;5;0;10.154.2;2021-04-28 00:32:01;;
35;gp:AOqpTOGN7VwQIclualiUgtun37FYTDRvR00fxsTAJf6ZilK4rd5wi2BSRpXqqPNjx2OXkm5bPBytHvm95yAOSA;Afonso Andrade;https://play-lh.googleusercontent.com/a-/AOh14GhrLzvcNZQ26Fv6csYx0t0cBXTu6-AXOVa0nNEH;Muito bom;5;0;10.154.2;2021-04-28 00:28:58;;
36;gp:AOqpTOE4aaoRjfLhSa2K82SygKWWJ27box2_10h8Ipqg7OPa4oSFcj_YGpmHFJi8MH3yvryy9j0C3U0eqNNnVw;Jonas Macêdo;https://play-lh.googleusercontent.com/a-/AOh14GgzJT_jfRP_KenX8FxeYlUFg03NnndRO3i5IJ9tCg;Show de bola. Cada vez melhor;5;0;10.156.2;2021-04-28 00:28:36;;
37;gp:AOqpTOHpTFSupZ4y2wOFLcsS0N2d6IBXLutGvlGORT1gz3zGBMKOYD-1oT0BFKwKbO1cih_hKMPRHjlnSbDhug;edilson lopes;https://play-lh.googleusercontent.com/a-/AOh14GgjJAuUj3o8EubdN2FYmVsfgIMay9Tt-6b0sVbygw;Muito Bom 👍🏼;5;0;10.154.2;2021-04-28 00:28:30;;
38;gp:AOqpTOEebCu-QtN2VnUobVIKCYwhPa7wq02gnyj21aPHMP31p3FWeFXppThSFz_DkP8hPrrAQbe15klzMfjn8Q;Evandro Chacal;https://play-lh.googleusercontent.com/a-/AOh14GgGdGHWDQuOuzIlY7xANPGL1TFeMr8UGIYPHHWrKHM;Gostei muito, prático e rápido e muito Seguro ao Consumidor!!😊 😎 E agora patrocina o Mengão 🔴⚫🏆👏🏻👏🏻👏🏻👏🏻 Flameeeengo !!!! ......... 🏃🏻‍♂️💨🔴⚫🏆😂✌🏻😜 Fui q fui !!!!;5;0;10.154.2;2021-04-28 00:27:19;;
39;gp:AOqpTOF7i8QtCAWHw7iBvzCLShZGkhB_HIyxtI0BpwFnrVlvggtqfZkwUb_cqopJXrVK_Oa6qAnh_0GLVcvuCw;Andreza Jesus;https://play-lh.googleusercontent.com/-RvEm15LjwLI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJwOVQ5szfqZX2mJuJtV4o1-XMNw/photo.jpg;Me deixou perder meu dinheiro por umas fraldes;1;0;;2021-04-28 00:25:47;;
40;gp:AOqpTOFR413zYNYaDi0JxMQ1GkM13LxPGfqvIH-BMgwMNDTSixneWx1TqJD1McL0AzY4PCAGUFLQ-B_GD326mQ;José Ferreira;https://play-lh.googleusercontent.com/-uBW8q76AVK8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmOiOT4pXoL7K26hOIDp8aAhOM5wA/photo.jpg;Excelente é ótimo amei fazer minha compra no mercado livre é simples de manusear e as opções de pagamento são as melhores que há na atualidade e minha primeira compra chegou rapidinho obrigado pela pontualidade dá pra confiar.;5;0;10.154.2;2021-04-28 00:24:19;;
41;gp:AOqpTOGsIP1NXmviNwzQcsnX22BEIoldJmILVSCoTGZw1q7yo1mtDM0wgG5aeWMWQKOReVDknA8guW0EW4e0mA;lucio pereira;https://play-lh.googleusercontent.com/-wUANptVGM60/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjvGQenSF-Hid6e4BsodkcTl8eQQ/photo.jpg;Maravilhoso;5;0;10.154.2;2021-04-28 00:23:05;;
42;gp:AOqpTOFn5W4lShUqJ3rrcEAvOtSngXm5Ec6L0qeVyJ1Y53-RHS1kFRbuc92qzrkiSOVD1e3r7swQ6J5AARYTtw;nil farsura;https://play-lh.googleusercontent.com/-MyO_Sr1dJh0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPoJMQhWF07DKW7vhRkKxjEtJxQQ/photo.jpg;Gostei muito;5;0;10.50.4;2021-04-28 00:22:37;;
43;gp:AOqpTOHXQx5sJVUtQsSUyEy0F92Bc-HtJngES-jSlcyU_SghqvPvaHHi0hBIly0q9HJldmjudc9ZO42Qqm_Zrg;Soila Oliveira;https://play-lh.googleusercontent.com/-BW95F4tfFso/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2x0Xdrnzf3zRbHFYLaajs2rU-0A/photo.jpg;Rápido e pratica e segura;5;0;10.154.2;2021-04-28 00:18:42;;
44;gp:AOqpTOHbqVTx32QIK7PQTZg_6k4FKnPHRc1_N9ePnnOgxtp_SiP7WpC02x3IfmFtzE1r5uHxZPkw57DDcpxu4w;Thamyres Silva Lima;https://play-lh.googleusercontent.com/a-/AOh14GhfLfJdFdDRZvy5Of4CmCiHtsBxmGRrqFy8i5qeqA;Muito rápido e prática as compras, e dependendo do preço da compra o frete grátis.;5;0;10.154.2;2021-04-28 00:17:47;;
45;gp:AOqpTOFizhaku4E0zWt4N3IyGdp8THQva1Tt_bqZR3P8zoWkpiXyJ9J68fIy1xeMxM8SXpVTGcZ1hI6HMi-yXQ;Lucy Nascimento;https://play-lh.googleusercontent.com/a-/AOh14Gh9ZM6niDo8FmukVqpRCxQSlcmR5P_Nbcm0v1MQBQ;Estou com problema em um ressarcimento de um produto, só me devolveram o valor do frete , o valor do produto nunca veio e no app informa q eles mandaram o valor total. já mandei email e já tentei de tudo e até agora nada do meu dinheiro de volta , nem em veredito não veio. Amo esse app más, estou muito chateada com isso.;5;0;10.154.2;2021-04-28 00:16:53;;
46;gp:AOqpTOF9lW-cPwXnQZ-i5YIAvseUQVmogGRZwSyxI91vxTtWt9Gck4RXRaZSbX27_J8S4LQ4V1t76_igch1gpA;Elineide Taino;https://play-lh.googleusercontent.com/a-/AOh14GjgXYrS6fK4g2qDihgM3SRVsIYrMu__JhU_ZcDc-50;Melhor app;5;0;10.154.2;2021-04-28 00:15:05;;
47;gp:AOqpTOFh86vCyvSBSwOY-33h6AZM3Nv3vV1joOW6OYgcv78nqo38vuoHGpP-vRC6e4C-AfXnyFWHuRm3lTwInw;Luis Santos;https://play-lh.googleusercontent.com/a-/AOh14GjG2eZgpKNo1PD9uJZsEACizZrqPw_XQve9f00;Melhor appp pra compra ,nunca me deixou eu na mão muito obrigado mercado livre;5;0;10.154.2;2021-04-28 00:14:52;;
48;gp:AOqpTOEmD1JTx0IsqIg9pcqs--V0o3wJIimLs35j9gqgL2tBUwKPh5ITMJKMQhPKsRIlL7Uh4nGdlkYkVRV-SQ;Herleycastro Herleycastro;https://play-lh.googleusercontent.com/-vQ7g6ngw6I4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclaGjmFKGkQdJTBWxjouee4o6bO_w/photo.jpg;Excelente;5;0;10.154.2;2021-04-28 00:14:27;;
49;gp:AOqpTOGqhUNxQsZscQxAu265YMlYubae2tFvPLcXK9zodAaTuHNx8uv93DnzifOV7XUHG7EPzmTjhYmnwNGAFQ;Lindas Mulheres Apaixonantes;https://play-lh.googleusercontent.com/a-/AOh14GiAI_rC3TcNr_DEVhSOaz9wp3Rjn0sc4S08OHbTmg;Feliz com as compras!!! Compramos muitas coisas no mercado livre, nada para reclamar.;5;0;10.154.2;2021-04-28 00:11:34;;
